Id,Prediction
r394_c708,3
r123_c708,3
r240_c708,4
r160_c708,4
r253_c708,3
r149_c708,3
r937_c708,3
r819_c708,3
r235_c708,4
r115_c708,4
r539_c708,3
r996_c708,1
r766_c708,2
r445_c708,2
r643_c708,2
r618_c708,4
r561_c708,5
r226_c708,5
r236_c708,2
r70_c708,3
r793_c708,3
r622_c708,4
r408_c708,3
r954_c708,3
r930_c708,4
r201_c708,4
r952_c708,2
r167_c708,5
r751_c708,4
r634_c708,4
r521_c708,3
r399_c708,3
r552_c708,5
r104_c708,5
r872_c708,1
r152_c708,3
r505_c708,3
r299_c708,4
r59_c708,5
r108_c708,3
r824_c708,3
r564_c708,4
r357_c708,3
r392_c708,4
r956_c708,4
r73_c708,4
r315_c708,2
r674_c708,3
r971_c708,5
r476_c708,3
r934_c708,4
r48_c708,4
r344_c708,3
r671_c708,4
r687_c708,4
r221_c708,5
r143_c708,2
r382_c708,3
r685_c708,3
r486_c708,2
r222_c708,4
r318_c708,4
r415_c708,4
r730_c708,5
r726_c708,3
r57_c708,3
r693_c708,4
r22_c708,5
r18_c708,4
r842_c708,3
r417_c708,4
r135_c708,2
r782_c708,4
r244_c708,4
r103_c708,5
r287_c708,5
r722_c708,2
r86_c708,5
r2_c708,5
r262_c708,4
r970_c708,3
r668_c708,5
r102_c545,5
r173_c545,3
r29_c545,5
r52_c545,5
r609_c545,3
r176_c545,3
r184_c545,3
r836_c545,3
r728_c545,4
r295_c545,3
r868_c545,2
r21_c545,2
r145_c545,4
r170_c545,4
r748_c545,4
r288_c545,5
r933_c545,3
r556_c545,1
r526_c545,2
r7_c545,5
r69_c545,5
r117_c545,5
r172_c545,4
r633_c545,4
r297_c545,5
r586_c545,4
r498_c545,2
r362_c545,3
r16_c545,5
r320_c545,3
r218_c545,4
r12_c545,2
r8_c545,5
r796_c545,5
r437_c545,2
r298_c545,5
r228_c545,4
r543_c545,4
r654_c545,3
r451_c545,4
r127_c545,3
r724_c545,4
r55_c545,2
r712_c545,4
r916_c545,3
r607_c545,2
r425_c545,3
r464_c545,3
r80_c545,4
r697_c545,3
r914_c545,5
r742_c545,5
r826_c545,2
r509_c545,2
r163_c545,2
r28_c545,5
r203_c545,3
r849_c545,3
r301_c545,5
r17_c545,4
r141_c545,3
r747_c545,4
r37_c545,5
r434_c545,3
r109_c545,4
r704_c545,3
r519_c545,3
r310_c545,3
r294_c545,3
r590_c545,1
r527_c545,2
r122_c545,2
r422_c545,5
r158_c545,2
r374_c545,4
r154_c545,4
r978_c545,3
r469_c545,3
r709_c545,3
r473_c545,5
r63_c545,5
r269_c545,5
r346_c545,3
r966_c545,4
r264_c545,3
r570_c545,3
r576_c545,3
r737_c545,2
r895_c545,4
r54_c545,5
r880_c545,2
r928_c545,4
r329_c545,3
r286_c545,4
r72_c545,3
r456_c545,5
r27_c545,2
r246_c545,4
r491_c545,5
r700_c545,3
r191_c545,1
r15_c545,5
r795_c545,1
r883_c545,3
r255_c545,2
r420_c545,5
r36_c545,5
r206_c545,3
r694_c545,3
r696_c545,4
r258_c545,2
r181_c545,3
r794_c545,1
r798_c545,3
r686_c545,2
r690_c545,3
r624_c545,5
r516_c545,2
r185_c545,4
r25_c545,3
r394_c545,2
r279_c545,1
r555_c545,4
r627_c545,5
r237_c545,5
r253_c545,5
r698_c545,4
r595_c545,5
r925_c545,3
r149_c545,2
r873_c545,5
r271_c545,5
r735_c545,5
r115_c545,2
r428_c545,4
r97_c545,4
r619_c545,3
r144_c545,5
r618_c545,3
r561_c545,3
r859_c545,3
r14_c545,5
r49_c545,5
r953_c545,2
r930_c545,5
r623_c545,4
r485_c545,2
r201_c545,3
r343_c545,3
r167_c545,5
r186_c545,5
r629_c545,3
r399_c545,2
r71_c545,3
r571_c545,4
r339_c545,3
r180_c545,5
r227_c545,3
r74_c545,5
r152_c545,2
r407_c545,3
r251_c545,5
r583_c545,3
r493_c545,2
r99_c545,4
r711_c545,4
r159_c545,5
r200_c545,5
r67_c545,5
r155_c545,5
r681_c545,5
r53_c545,5
r757_c545,3
r615_c545,3
r24_c545,5
r199_c545,2
r281_c545,4
r474_c545,3
r221_c545,4
r968_c545,5
r143_c545,3
r105_c545,4
r363_c545,2
r663_c545,3
r3_c545,5
r340_c545,2
r352_c545,3
r628_c545,5
r96_c545,5
r93_c545,5
r806_c545,3
r530_c545,2
r222_c545,3
r318_c545,3
r632_c545,3
r161_c545,4
r57_c545,4
r26_c545,3
r22_c545,4
r47_c545,3
r962_c545,2
r780_c545,1
r385_c545,2
r110_c545,5
r842_c545,1
r241_c545,4
r245_c545,5
r896_c545,3
r317_c545,4
r323_c545,3
r419_c545,3
r655_c545,3
r60_c545,5
r381_c545,5
r9_c545,5
r421_c545,3
r243_c545,2
r68_c545,3
r480_c545,4
r625_c545,4
r165_c545,3
r216_c50,3
r454_c50,5
r741_c50,2
r487_c50,2
r173_c50,2
r219_c50,4
r598_c50,4
r809_c50,5
r729_c50,2
r289_c50,3
r791_c50,5
r353_c50,4
r176_c50,5
r215_c50,5
r562_c50,3
r295_c50,4
r327_c50,5
r868_c50,5
r21_c50,5
r50_c50,5
r465_c50,3
r522_c50,5
r106_c50,1
r61_c50,5
r768_c50,5
r145_c50,4
r843_c50,5
r195_c50,2
r948_c50,4
r748_c50,5
r288_c50,4
r640_c50,1
r993_c50,4
r377_c50,5
r20_c50,2
r187_c50,5
r799_c50,4
r426_c50,5
r667_c50,5
r933_c50,4
r738_c50,5
r393_c50,5
r214_c50,3
r34_c50,5
r673_c50,5
r4_c50,5
r810_c50,5
r7_c50,2
r69_c50,5
r927_c50,5
r922_c50,2
r94_c50,5
r482_c50,3
r977_c50,5
r460_c50,5
r84_c50,2
r746_c50,3
r740_c50,5
r297_c50,5
r845_c50,5
r384_c50,5
r586_c50,2
r881_c50,5
r537_c50,3
r878_c50,3
r126_c50,5
r998_c50,5
r580_c50,5
r715_c50,1
r311_c50,4
r764_c50,5
r113_c50,5
r338_c50,5
r218_c50,2
r641_c50,4
r12_c50,5
r136_c50,5
r796_c50,5
r375_c50,5
r298_c50,4
r554_c50,5
r802_c50,3
r718_c50,1
r531_c50,5
r543_c50,3
r608_c50,5
r788_c50,5
r451_c50,4
r515_c50,5
r840_c50,5
r732_c50,5
r114_c50,5
r19_c50,5
r51_c50,5
r283_c50,4
r111_c50,5
r85_c50,3
r724_c50,5
r336_c50,3
r414_c50,5
r713_c50,4
r712_c50,5
r749_c50,5
r916_c50,3
r416_c50,5
r112_c50,3
r390_c50,3
r924_c50,5
r902_c50,4
r316_c50,2
r472_c50,4
r252_c50,5
r425_c50,5
r80_c50,3
r697_c50,5
r278_c50,5
r851_c50,5
r742_c50,2
r826_c50,5
r777_c50,5
r309_c50,5
r849_c50,5
r944_c50,4
r651_c50,5
r41_c50,5
r921_c50,5
r141_c50,5
r79_c50,5
r650_c50,5
r548_c50,5
r974_c50,5
r37_c50,4
r1000_c50,3
r434_c50,5
r490_c50,5
r636_c50,5
r109_c50,5
r519_c50,4
r542_c50,3
r599_c50,4
r644_c50,5
r603_c50,4
r574_c50,5
r294_c50,5
r920_c50,5
r846_c50,5
r213_c50,5
r527_c50,5
r792_c50,3
r585_c50,5
r931_c50,3
r122_c50,5
r280_c50,5
r158_c50,3
r125_c50,3
r293_c50,3
r290_c50,2
r438_c50,1
r91_c50,3
r119_c50,4
r709_c50,5
r637_c50,2
r612_c50,3
r39_c50,5
r361_c50,5
r231_c50,5
r269_c50,5
r857_c50,5
r662_c50,4
r346_c50,5
r452_c50,5
r702_c50,5
r966_c50,5
r264_c50,4
r570_c50,5
r90_c50,5
r265_c50,5
r576_c50,2
r761_c50,4
r33_c50,5
r750_c50,5
r880_c50,3
r853_c50,2
r890_c50,2
r433_c50,4
r928_c50,3
r263_c50,4
r752_c50,2
r10_c50,5
r504_c50,3
r892_c50,5
r758_c50,3
r678_c50,5
r512_c50,5
r573_c50,5
r756_c50,3
r446_c50,5
r951_c50,3
r120_c50,3
r538_c50,2
r193_c50,4
r773_c50,4
r87_c50,3
r525_c50,3
r275_c50,3
r27_c50,5
r246_c50,5
r491_c50,5
r477_c50,5
r430_c50,5
r191_c50,4
r946_c50,5
r15_c50,5
r684_c50,5
r584_c50,4
r765_c50,3
r900_c50,5
r795_c50,5
r255_c50,3
r183_c50,5
r396_c50,4
r83_c50,5
r1_c50,5
r349_c50,3
r984_c50,5
r694_c50,3
r592_c50,5
r745_c50,4
r467_c50,2
r350_c50,2
r258_c50,5
r794_c50,5
r798_c50,3
r602_c50,5
r980_c50,5
r999_c50,3
r511_c50,5
r65_c50,5
r617_c50,5
r185_c50,5
r25_c50,5
r279_c50,3
r64_c50,5
r627_c50,4
r676_c50,3
r499_c50,4
r237_c50,5
r404_c50,5
r483_c50,3
r767_c50,4
r30_c50,5
r160_c50,5
r257_c50,5
r296_c50,4
r759_c50,2
r595_c50,5
r925_c50,5
r149_c50,4
r604_c50,5
r448_c50,5
r440_c50,5
r397_c50,5
r235_c50,5
r855_c50,3
r735_c50,5
r133_c50,3
r976_c50,4
r77_c50,4
r428_c50,5
r188_c50,5
r539_c50,5
r97_c50,5
r940_c50,4
r979_c50,5
r805_c50,5
r950_c50,5
r619_c50,4
r572_c50,2
r847_c50,3
r753_c50,2
r202_c50,5
r606_c50,4
r471_c50,5
r734_c50,5
r207_c50,5
r775_c50,3
r236_c50,5
r70_c50,5
r672_c50,5
r566_c50,5
r164_c50,2
r622_c50,5
r815_c50,4
r14_c50,3
r100_c50,5
r238_c50,5
r475_c50,5
r386_c50,4
r343_c50,5
r312_c50,2
r186_c50,5
r995_c50,4
r751_c50,5
r534_c50,5
r634_c50,5
r282_c50,3
r372_c50,5
r212_c50,5
r432_c50,5
r194_c50,5
r32_c50,3
r551_c50,3
r330_c50,4
r597_c50,5
r929_c50,5
r429_c50,2
r997_c50,5
r339_c50,5
r89_c50,5
r872_c50,5
r180_c50,5
r770_c50,3
r358_c50,5
r463_c50,3
r369_c50,3
r975_c50,4
r152_c50,2
r804_c50,5
r505_c50,4
r407_c50,4
r431_c50,5
r583_c50,5
r59_c50,3
r108_c50,5
r837_c50,4
r898_c50,5
r159_c50,5
r200_c50,5
r719_c50,3
r536_c50,5
r824_c50,5
r67_c50,5
r492_c50,2
r470_c50,5
r38_c50,5
r40_c50,3
r56_c50,5
r879_c50,3
r681_c50,5
r220_c50,5
r53_c50,5
r818_c50,5
r558_c50,5
r443_c50,5
r630_c50,4
r267_c50,5
r146_c50,5
r707_c50,5
r392_c50,5
r989_c50,5
r757_c50,5
r436_c50,3
r736_c50,3
r832_c50,5
r73_c50,5
r345_c50,5
r797_c50,4
r674_c50,3
r971_c50,5
r934_c50,4
r972_c50,2
r178_c50,5
r344_c50,1
r514_c50,3
r994_c50,5
r281_c50,5
r368_c50,5
r500_c50,2
r389_c50,3
r721_c50,5
r391_c50,5
r6_c50,5
r652_c50,5
r679_c50,5
r95_c50,3
r305_c50,2
r628_c50,5
r839_c50,2
r631_c50,5
r93_c50,1
r806_c50,5
r388_c50,5
r486_c50,5
r727_c50,4
r645_c50,5
r318_c50,5
r442_c50,2
r254_c50,5
r632_c50,5
r986_c50,3
r161_c50,5
r169_c50,3
r726_c50,5
r453_c50,4
r803_c50,5
r26_c50,5
r887_c50,2
r787_c50,5
r266_c50,5
r44_c50,5
r129_c50,5
r211_c50,5
r462_c50,5
r247_c50,5
r605_c50,4
r110_c50,2
r842_c50,5
r5_c50,5
r417_c50,5
r241_c50,5
r782_c50,3
r341_c50,5
r410_c50,5
r325_c50,5
r205_c50,5
r323_c50,5
r261_c50,5
r190_c50,4
r337_c50,4
r419_c50,4
r723_c50,4
r665_c50,3
r103_c50,5
r656_c50,5
r568_c50,2
r866_c50,5
r423_c50,4
r60_c50,5
r322_c50,5
r862_c50,5
r373_c50,3
r405_c50,5
r156_c50,5
r658_c50,4
r68_c50,3
r285_c50,5
r616_c50,3
r480_c50,5
r625_c50,2
r668_c50,5
r964_c364,3
r454_c364,5
r173_c364,1
r292_c364,3
r867_c364,3
r29_c364,1
r729_c364,3
r289_c364,5
r520_c364,2
r791_c364,3
r906_c364,3
r987_c364,4
r295_c364,3
r540_c364,3
r923_c364,3
r268_c364,2
r232_c364,5
r354_c364,3
r522_c364,3
r145_c364,3
r843_c364,4
r195_c364,2
r948_c364,5
r640_c364,2
r230_c364,2
r210_c364,4
r863_c364,3
r214_c364,4
r814_c364,3
r34_c364,5
r587_c364,2
r4_c364,5
r172_c364,5
r132_c364,5
r560_c364,5
r46_c364,1
r581_c364,2
r498_c364,3
r126_c364,3
r16_c364,5
r680_c364,3
r320_c364,3
r136_c364,5
r8_c364,5
r593_c364,3
r796_c364,4
r298_c364,2
r228_c364,3
r543_c364,5
r654_c364,1
r78_c364,2
r515_c364,5
r547_c364,4
r19_c364,5
r51_c364,2
r418_c364,5
r55_c364,3
r713_c364,4
r856_c364,4
r112_c364,3
r902_c364,4
r316_c364,4
r162_c364,4
r464_c364,3
r80_c364,2
r912_c364,3
r642_c364,3
r278_c364,4
r333_c364,4
r905_c364,3
r823_c364,3
r965_c364,3
r163_c364,3
r28_c364,3
r921_c364,5
r800_c364,2
r747_c364,4
r449_c364,3
r548_c364,2
r974_c364,4
r335_c364,5
r307_c364,2
r387_c364,3
r484_c364,4
r636_c364,3
r134_c364,4
r542_c364,4
r31_c364,2
r603_c364,4
r846_c364,3
r213_c364,2
r963_c364,4
r422_c364,3
r683_c364,4
r620_c364,5
r39_c364,4
r361_c364,3
r459_c364,5
r648_c364,3
r659_c364,4
r90_c364,3
r888_c364,5
r576_c364,2
r761_c364,3
r955_c364,5
r822_c364,4
r54_c364,3
r433_c364,5
r678_c364,5
r512_c364,3
r573_c364,3
r383_c364,3
r951_c364,4
r120_c364,2
r72_c364,3
r538_c364,2
r456_c364,3
r773_c364,4
r491_c364,4
r692_c364,4
r15_c364,1
r398_c364,5
r584_c364,3
r765_c364,2
r621_c364,3
r420_c364,2
r58_c364,4
r567_c364,4
r396_c364,1
r1_c364,5
r601_c364,5
r349_c364,3
r23_c364,3
r694_c364,4
r696_c364,4
r467_c364,1
r42_c364,5
r546_c364,1
r999_c364,2
r690_c364,3
r695_c364,3
r511_c364,3
r43_c364,5
r617_c364,5
r185_c364,3
r138_c364,3
r25_c364,2
r279_c364,2
r64_c364,5
r237_c364,5
r404_c364,4
r483_c364,4
r376_c364,5
r767_c364,4
r30_c364,1
r595_c364,4
r925_c364,4
r304_c364,5
r448_c364,4
r235_c364,1
r450_c364,4
r855_c364,5
r960_c364,3
r735_c364,5
r133_c364,3
r115_c364,3
r529_c364,1
r428_c364,4
r743_c364,5
r979_c364,3
r223_c364,5
r144_c364,4
r618_c364,5
r753_c364,2
r202_c364,3
r471_c364,4
r207_c364,5
r949_c364,3
r236_c364,2
r70_c364,5
r157_c364,3
r865_c364,4
r408_c364,3
r171_c364,2
r532_c364,2
r49_c364,5
r954_c364,2
r953_c364,5
r911_c364,4
r930_c364,4
r623_c364,4
r708_c364,3
r201_c364,4
r386_c364,2
r908_c364,4
r312_c364,2
r167_c364,3
r82_c364,5
r634_c364,4
r282_c364,4
r629_c364,1
r212_c364,4
r32_c364,1
r225_c364,5
r783_c364,3
r528_c364,4
r71_c364,4
r571_c364,4
r813_c364,3
r429_c364,4
r997_c364,5
r104_c364,5
r872_c364,5
r829_c364,5
r502_c364,5
r401_c364,3
r358_c364,5
r463_c364,5
r461_c364,3
r369_c364,5
r364_c364,5
r299_c364,5
r513_c364,4
r108_c364,3
r493_c364,5
r837_c364,4
r159_c364,5
r200_c364,4
r67_c364,3
r107_c364,5
r38_c364,5
r40_c364,5
r564_c364,4
r879_c364,3
r53_c364,5
r818_c364,4
r328_c364,1
r443_c364,3
r958_c364,3
r146_c364,5
r707_c364,4
r357_c364,3
r736_c364,2
r832_c364,4
r73_c364,3
r24_c364,5
r797_c364,4
r945_c364,2
r674_c364,2
r961_c364,5
r48_c364,4
r514_c364,1
r639_c364,3
r500_c364,5
r544_c364,5
r679_c364,4
r828_c364,4
r663_c364,5
r579_c364,3
r882_c364,4
r305_c364,5
r352_c364,2
r839_c364,4
r631_c364,4
r229_c364,2
r981_c364,1
r530_c364,3
r645_c364,2
r318_c364,4
r415_c364,3
r254_c364,2
r273_c364,5
r986_c364,4
r101_c364,1
r453_c364,3
r762_c364,4
r803_c364,4
r693_c364,4
r326_c364,2
r47_c364,5
r18_c364,4
r780_c364,5
r841_c364,4
r5_c364,5
r148_c364,3
r241_c364,3
r935_c364,3
r317_c364,5
r412_c364,3
r205_c364,3
r370_c364,4
r877_c364,4
r665_c364,5
r45_c364,2
r656_c364,2
r287_c364,4
r894_c364,5
r86_c364,2
r2_c364,5
r447_c364,4
r373_c364,3
r9_c364,5
r405_c364,3
r243_c364,4
r153_c364,3
r741_c4,5
r173_c4,5
r219_c4,5
r729_c4,5
r609_c4,5
r289_c4,5
r147_c4,5
r130_c4,5
r791_c4,5
r176_c4,5
r215_c4,5
r184_c4,5
r987_c4,4
r562_c4,4
r327_c4,5
r664_c4,5
r540_c4,5
r957_c4,5
r21_c4,5
r403_c4,5
r268_c4,4
r465_c4,5
r232_c4,5
r522_c4,5
r106_c4,5
r768_c4,5
r217_c4,5
r145_c4,5
r821_c4,5
r288_c4,5
r848_c4,4
r313_c4,5
r588_c4,5
r886_c4,5
r377_c4,5
r799_c4,5
r259_c4,4
r933_c4,5
r210_c4,5
r738_c4,5
r34_c4,5
r587_c4,2
r771_c4,5
r4_c4,5
r117_c4,5
r303_c4,5
r172_c4,5
r560_c4,5
r66_c4,5
r977_c4,5
r46_c4,5
r460_c4,5
r633_c4,5
r274_c4,5
r740_c4,5
r384_c4,5
r589_c4,5
r581_c4,5
r537_c4,5
r811_c4,5
r331_c4,5
r291_c4,5
r498_c4,5
r517_c4,5
r998_c4,5
r907_c4,4
r13_c4,5
r580_c4,5
r715_c4,5
r314_c4,5
r764_c4,5
r874_c4,5
r366_c4,5
r820_c4,5
r113_c4,2
r320_c4,5
r12_c4,5
r437_c4,4
r284_c4,5
r718_c4,5
r137_c4,4
r969_c4,5
r531_c4,5
r11_c4,5
r827_c4,5
r451_c4,5
r717_c4,5
r732_c4,5
r51_c4,5
r111_c4,5
r85_c4,5
r418_c4,5
r808_c4,4
r724_c4,5
r835_c4,5
r124_c4,5
r55_c4,5
r336_c4,5
r713_c4,5
r916_c4,5
r902_c4,5
r270_c4,5
r427_c4,5
r472_c4,5
r425_c4,5
r464_c4,5
r80_c4,5
r914_c4,5
r248_c4,5
r224_c4,5
r777_c4,5
r905_c4,5
r823_c4,5
r965_c4,5
r509_c4,5
r28_c4,5
r203_c4,5
r849_c4,5
r944_c4,5
r651_c4,5
r17_c4,5
r179_c4,5
r789_c4,5
r800_c4,5
r141_c4,5
r747_c4,5
r449_c4,5
r650_c4,5
r335_c4,5
r37_c4,5
r1000_c4,5
r490_c4,5
r496_c4,5
r387_c4,5
r636_c4,5
r519_c4,5
r599_c4,5
r817_c4,5
r574_c4,5
r319_c4,5
r901_c4,5
r590_c4,4
r846_c4,1
r939_c4,5
r527_c4,5
r585_c4,5
r177_c4,5
r422_c4,5
r374_c4,5
r125_c4,5
r197_c4,5
r154_c4,5
r637_c4,5
r884_c4,5
r192_c4,5
r361_c4,5
r231_c4,5
r269_c4,5
r507_c4,5
r702_c4,5
r772_c4,5
r648_c4,4
r966_c4,5
r725_c4,5
r351_c4,5
r90_c4,5
r265_c4,5
r888_c4,5
r553_c4,5
r576_c4,5
r761_c4,5
r691_c4,5
r33_c4,5
r955_c4,5
r533_c4,5
r737_c4,5
r895_c4,5
r880_c4,5
r890_c4,5
r575_c4,5
r926_c4,5
r752_c4,5
r831_c4,5
r678_c4,4
r321_c4,5
r329_c4,5
r457_c4,5
r573_c4,5
r286_c4,5
r383_c4,5
r755_c4,5
r703_c4,5
r756_c4,4
r833_c4,4
r852_c4,5
r446_c4,5
r951_c4,5
r193_c4,5
r234_c4,5
r87_c4,5
r869_c4,5
r75_c4,5
r491_c4,5
r477_c4,5
r692_c4,5
r700_c4,5
r191_c4,5
r209_c4,5
r15_c4,5
r739_c4,5
r883_c4,5
r272_c4,4
r621_c4,5
r166_c4,5
r420_c4,5
r549_c4,5
r396_c4,5
r83_c4,5
r302_c4,5
r720_c4,4
r601_c4,5
r349_c4,5
r592_c4,4
r769_c4,5
r745_c4,5
r467_c4,5
r786_c4,5
r546_c4,4
r794_c4,5
r980_c4,5
r690_c4,5
r204_c4,5
r175_c4,5
r624_c4,5
r675_c4,5
r617_c4,5
r516_c4,5
r185_c4,5
r138_c4,5
r25_c4,5
r394_c4,5
r279_c4,5
r468_c4,4
r64_c4,5
r555_c4,5
r676_c4,5
r404_c4,5
r483_c4,5
r406_c4,5
r376_c4,5
r503_c4,5
r256_c4,5
r767_c4,5
r30_c4,5
r240_c4,5
r257_c4,5
r698_c4,5
r604_c4,5
r937_c4,5
r819_c4,5
r897_c4,5
r873_c4,5
r647_c4,5
r450_c4,5
r960_c4,5
r735_c4,5
r133_c4,5
r115_c4,5
r342_c4,5
r529_c4,5
r539_c4,5
r940_c4,5
r223_c4,5
r618_c4,5
r689_c4,5
r682_c4,5
r202_c4,5
r207_c4,5
r775_c4,5
r236_c4,5
r830_c4,5
r611_c4,5
r566_c4,5
r622_c4,4
r815_c4,5
r909_c4,5
r408_c4,3
r98_c4,5
r100_c4,5
r614_c4,5
r911_c4,4
r930_c4,5
r635_c4,5
r201_c4,5
r475_c4,5
r343_c4,5
r908_c4,5
r494_c4,5
r952_c4,5
r167_c4,5
r186_c4,5
r82_c4,5
r995_c4,5
r701_c4,5
r634_c4,5
r714_c4,5
r282_c4,5
r372_c4,5
r194_c4,5
r521_c4,4
r32_c4,5
r783_c4,5
r330_c4,5
r597_c4,5
r929_c4,5
r571_c4,5
r495_c4,5
r429_c4,5
r142_c4,5
r339_c4,5
r104_c4,5
r89_c4,5
r180_c4,5
r770_c4,5
r401_c4,5
r358_c4,5
r461_c4,5
r400_c4,5
r369_c4,5
r661_c4,5
r367_c4,5
r364_c4,5
r804_c4,5
r936_c4,5
r505_c4,5
r816_c4,5
r407_c4,5
r299_c4,5
r513_c4,5
r59_c4,5
r108_c4,5
r493_c4,5
r380_c4,5
r837_c4,5
r99_c4,5
r711_c4,5
r159_c4,5
r439_c4,5
r200_c4,5
r719_c4,5
r518_c4,5
r536_c4,5
r824_c4,5
r559_c4,5
r801_c4,5
r470_c4,5
r40_c4,5
r550_c4,5
r879_c4,5
r220_c4,3
r53_c4,5
r967_c4,5
r818_c4,4
r328_c4,4
r558_c4,5
r443_c4,5
r982_c4,5
r146_c4,5
r707_c4,5
r569_c4,5
r360_c4,5
r392_c4,5
r992_c4,4
r956_c4,5
r545_c4,5
r436_c4,5
r615_c4,5
r359_c4,5
r736_c4,5
r832_c4,5
r73_c4,5
r345_c4,5
r797_c4,5
r674_c4,5
r971_c4,5
r334_c4,5
r934_c4,5
r972_c4,5
r48_c4,5
r344_c4,5
r62_c4,5
r199_c4,5
r250_c4,5
r281_c4,5
r671_c4,5
r368_c4,5
r687_c4,5
r544_c4,5
r6_c4,5
r221_c4,5
r968_c4,5
r679_c4,5
r754_c4,5
r95_c4,5
r239_c4,5
r3_c4,5
r579_c4,5
r305_c4,5
r941_c4,5
r578_c4,5
r352_c4,4
r839_c4,5
r631_c4,5
r96_c4,5
r229_c4,5
r388_c4,5
r486_c4,5
r913_c4,5
r530_c4,5
r222_c4,5
r479_c4,5
r645_c4,5
r318_c4,5
r254_c4,5
r706_c4,5
r273_c4,5
r730_c4,5
r986_c4,5
r169_c4,5
r726_c4,5
r762_c4,5
r196_c4,5
r174_c4,5
r26_c4,5
r693_c4,5
r787_c4,5
r638_c4,5
r18_c4,5
r962_c4,5
r780_c4,5
r129_c4,5
r462_c4,5
r247_c4,5
r385_c4,5
r842_c4,5
